"UniqueID","Year","Breed","Breedclean","Age","Agenum","Gender","SpayNeuter","Borough","ZipCode"
8265,"2016","GOLDEN DOODLE MIX","Retriever","4",4,"M","true","Queens","11106"
8268,"2016","Cocker Spaniel","Spaniel","3",3,"M","false","Queens","11378"
8269,"2016","American Pit Bull Mix / Pit Bull Mix","Pit bull","4",4,"F","false","Queens","11419"
8272,"2016","Shar-Pei, Chinese","Other","7",7,"F","false","Queens","11377"
8273,"2016","American Pit Bull Mix / Pit Bull Mix","Pit bull","2",2,"M","false","Queens","11434"
8274,"2016","Labrador Retriever","Retriever","4",4,"M","true","Queens","11367"
8281,"2016","German Shepherd","German shepherd","6",6,"F","true","Queens","11103"
8284,"2016","MALTI POO","Other","4",4,"F","false","Queens","11385"
8286,"2016","Yorkshire Terrier","Terrier","4",4,"M","true","Queens","11101"
8287,"2016","Golden Retriever","Retriever","11",11,"M","true","Queens","11375"
8289,"2016","Chihuahua","Chihuahua","3",3,"M","true","Queens","11373"
8290,"2016","Mixed/Other","Other","5",5,"F","true","Queens","11374"
8291,"2016","AUSTRALIAN CATTLE MIX","Other","8",8,"F","true","Queens","11379"
8293,"2016","Labrador Retriever","Retriever","8",8,"M","false","Queens","11434"
8294,"2016","Akita","Other","10",10,"M","true","Queens","11691"
8295,"2016","Shih Tzu","Shih tzu","8",8,"M","false","Queens","11373"
8296,"2016","Shih Tzu","Shih tzu","9",9,"F","false","Queens","11356"
8298,"2016","Shih Tzu","Shih tzu","3",3,"M","false","Queens","11377"
8299,"2016","Bichon Frise","Other","2",2,"M","true","Queens","11367"
8301,"2016","Shih Tzu","Shih tzu","1",1,"M","false","Queens","11691"
8302,"2016","Jindo Dog,","Other","9",9,"M","true","Queens","11421"
8303,"2016","POODLE / SCHNAUZER / COCKER SPANIEL MIX","Poodle","12",12,"M","true","Queens","11435"
8305,"2016","MUTT","Other","9",9,"F","true","Queens","11369"
8306,"2016","MUTT","Other","9",9,"F","true","Queens","11369"
8307,"2016","Pit Bull","Pit bull","5",5,"M","false","Queens","11414"
8308,"2016","BULL TERRIER MIX","Terrier","3",3,"F","false","Queens","11372"
8309,"2016","American Pit Bull Mix / Pit Bull Mix","Pit bull","3",3,"M","true","Queens","11377"
8310,"2016","Pit Bull","Pit bull","1",1,"M","false","Queens","11434"
8312,"2016","Chihuahua Crossbreed","Chihuahua","5",5,"M","true","Queens","11377"
8314,"2016","German Shepherd","German shepherd","4",4,"M","true","Queens","11692"
8315,"2016","Shiba Inu","Shiba","2",2,"M","false","Queens","11356"
8316,"2016","Puggle","Other","6",6,"F","false","Queens","11372"
8317,"2016","German Shepherd","German shepherd","2",2,"M","true","Queens","11419"
8320,"2016","AUSTRALIAN CATTLE","Other","5",5,"M","true","Queens","11105"
8329,"2016","Boston Terrier","Terrier","8",8,"M","true","Queens","11368"
8330,"2016","CHIHUAHUA AND DOTSON MIX","Chihuahua","3",3,"M","true","Queens","11429"
8336,"2016","German Shepherd","German shepherd","3",3,"M","true","Queens","11354"
8339,"2016","German Shepherd","German shepherd","2",2,"F","true","Queens","11377"
8342,"2016","LABRADOR RETRIEVER MIX","Retriever","1",1,"M","false","Queens","11435"
8343,"2016","Poodle, Standard","Poodle","5",5,"M","false","Queens","11368"
8344,"2016","Akita","Other","7",7,"M","true","Queens","11691"
8346,"2016","American Staffordshire Terrier","Terrier","2",2,"F","false","Queens","11433"
8349,"2016","Rottweiler","Other","4",4,"F","false","Queens","11369"
8350,"2016","Australian Shepherd","Other","5",5,"F","false","Queens","11433"
8355,"2016","German Shepherd","German shepherd","1",1,"M","true","Queens","11367"
8357,"2016","Pit Bull","Pit bull","9",9,"M","true","Queens","11423"
8363,"2016","Pit Bull","Pit bull","3",3,"M","false","Queens","11363"
8366,"2016","Pit Bull","Pit bull","2",2,"M","false","Queens","11414"
8367,"2016","American Pit Bull Mix / Pit Bull Mix","Pit bull","6",6,"M","true","Queens","11379"
8368,"2016","Pit Bull","Pit bull","5",5,"M","false","Queens","11419"
8370,"2016","Pit Bull","Pit bull","1",1,"M","false","Queens","11423"
8371,"2016","Lhasa Apso","Other","6",6,"M","true","Queens","11375"
8372,"2016","Poodle, Miniature","Poodle","5",5,"M","false","Queens","11412"
8374,"2016","Chihuahua","Chihuahua","5",5,"F","true","Queens","11418"
8376,"2016","Maltese","Maltese","9",9,"F","false","Queens","11361"
8378,"2016","Pit Bull","Pit bull","9",9,"M","true","Queens","11416"
8379,"2016","AMERICAN STAFF TER X","Other","6M",0,"M","false","Queens","11434"
8380,"2016","American Staffordshire Terrier","Terrier","7",7,"M","true","Queens","11377"
8381,"2016","Maltese","Maltese","5",5,"M","true","Queens","11356"
8382,"2016","Belgian Malinois","Other","1",1,"M","true","Queens","11385"
8383,"2016","Boxer","Other","4",4,"M","false","Queens","11368"
8391,"2016","Labrador Retriever","Retriever","3",3,"F","true","Queens","11414"
8396,"2016","Poodle, Standard","Poodle","3",3,"M","true","Queens","11373"
8397,"2016","Pit Bull","Pit bull","3",3,"M","true","Queens","11373"
8398,"2016","Siberian Husky","Husky","4",4,"M","true","Queens","11378"
8399,"2016","Cocker Spaniel","Spaniel","4",4,"M","false","Queens","11356"
8400,"2016","Poodle, Standard","Poodle","3",3,"M","true","Queens","11373"
8401,"2016","American Pit Bull Terrier/Pit Bull","Pit bull","3",3,"F","false","Queens","11435"
